epoch,train_loss,val_loss,val_macroAcc,val_macroF1
1,0.31205237169143457,1.6769525257793565,0.748106837272644,0.2601751685142517
2,0.039820024943476966,1.2502898253325214,0.7640431523323059,0.2825075089931488
3,0.02393992597331547,0.9848169289269004,0.8162768483161926,0.34561067819595337
4,0.016024566777873516,0.8275136207575993,0.8452675342559814,0.42593204975128174
5,0.012760556970899008,0.6988706550564933,0.8757194876670837,0.49210137128829956
6,0.010158594257758705,0.6115167442522901,0.8947635889053345,0.504923403263092
7,0.008653840717450767,0.5350078680480443,0.9022714495658875,0.5215534567832947
8,0.0076679220700526666,0.5342532371067245,0.9031569957733154,0.5272111296653748
9,0.007470057042344418,0.5224742460438693,0.9058140516281128,0.5426805019378662
10,0.0076172278779083795,0.5166192887498516,0.9033187627792358,0.5271488428115845
