epoch,train_loss,val_loss,val_acc,val_macroF1
1,1.990141235793881,1.634361255441082,0.691324200913242,0.4915222201402755
2,0.7341367867772072,0.8690459409260859,0.8632420091324201,0.7439822785410064
3,0.37730804952101826,0.5108435604125942,0.9084474885844749,0.8420424727455719
4,0.2244892261478285,0.32969164657810507,0.934931506849315,0.8983696727511973
5,0.1614275660062114,0.2743664365108699,0.9458904109589041,0.9052742782278866
6,0.11539189552547562,0.20577832969356344,0.9600456621004566,0.9190750602209473
7,0.09303978959034229,0.16674835536305763,0.9675799086757991,0.9333254765647048
8,0.08237854235995494,0.17481891270641867,0.9623287671232876,0.9248065156209503
9,0.07986915402827292,0.17178716523462234,0.9639269406392694,0.9237859009260431
10,0.07750107093175461,0.16924334764480592,0.9655251141552511,0.9252273390541517
11,0.07344996866555921,0.1713718420158238,0.9643835616438357,0.9264310722573781
12,0.07623278247296715,0.15839071722879802,0.9684931506849315,0.9292831254244873
13,0.07737255585512823,0.16441599391911127,0.9675799086757991,0.9301096982029626
14,0.07048231970708538,0.1640732627481086,0.9662100456621004,0.9280343911363369
15,0.07522118310387697,0.15141060922515992,0.9680365296803652,0.9313260986169888
16,0.0702282532413247,0.15915118247678836,0.9678082191780822,0.9311431475777759
17,0.07149546192229461,0.16127632263044245,0.9657534246575342,0.9257699459671409
18,0.07075902779394563,0.1557402246618924,0.9707762557077626,0.9273624993096005
19,0.07147674850879616,0.1520769604400957,0.9682648401826484,0.9282239961023641
20,0.07228693929565745,0.1387887740516227,0.971689497716895,0.9370389235085043
