epoch,train_loss,val_loss,val_acc,val_macroF1
1,0.46304320492110695,0.12405226400725917,0.9691780821917808,0.9282883504073878
2,0.03689597891594727,0.07288921127716701,0.980593607305936,0.9537187876098324
3,0.020242951696576538,0.04828371326672976,0.9858447488584475,0.952215832124663
4,0.013778842373751743,0.045701798230205495,0.9865296803652968,0.955756171741809
5,0.008595700471228757,0.0352630554617608,0.9908675799086758,0.9618363477429566
6,0.006818115758639638,0.03003666086811317,0.991324200913242,0.9642325083485143
7,0.007104603531675766,0.029407806223317914,0.9917808219178083,0.9642729355415246
8,0.004945803755865804,0.02788462303451275,0.9924657534246575,0.9648771067778678
9,0.004606084731373647,0.029560744020764685,0.9920091324200914,0.9631565761908685
10,0.0052538679940972695,0.028324946010119565,0.9915525114155251,0.9638487183265319
