epoch,train_loss,val_loss,val_macroAcc,val_macroF1
1,1.1340690508202402,2.8573241364466,0.4994229380022002,0.09868054248782979
2,0.41024983520307995,2.4750735690060273,0.620918977235524,0.18934362583774603
3,0.2511669816451411,2.2353780169465227,0.6782444437770532,0.20758300559614618
4,0.17742777036787521,2.074653691679375,0.7133785644036992,0.23658086555340913
5,0.13423827124815277,1.9668965034833237,0.7234194503322354,0.23869543100876262
6,0.10709382069249708,1.9047255907973197,0.7417284005947546,0.23897343866214574
7,0.08877688245118331,1.824002809176162,0.7438854997474987,0.2478581160974644
8,0.08065102601070387,1.8074084817546687,0.7467886201009771,0.24655306306460212
9,0.07870117785057322,1.8048060237544856,0.7454206021130432,0.25853750690438737
10,0.07837984209689247,1.7906750891306629,0.7471341250508224,0.2504153142312923
11,0.0767193330146864,1.7861609650529138,0.7467886201009771,0.25225333350513607
12,0.07760826305497534,1.775726971125494,0.7477379897851221,0.22991266019660403
13,0.07708021644847418,1.7855101992550506,0.7477724963413677,0.2528065154575211
14,0.07633361046813508,1.7578719528842734,0.7477379897851221,0.24360886096782616
15,0.07294605431946806,1.7538329274687048,0.7503827503541463,0.24699885183700604
16,0.07347560090530297,1.7686454809963976,0.7491405143293015,0.25265434603316317
17,0.07265820989368658,1.778045545429944,0.7490147323662124,0.24224418466864991
18,0.07318210895644336,1.7669341596838546,0.7497788856198467,0.24686458034267347
19,0.07212519533226114,1.766572492198857,0.7503827503541463,0.23600363211257336
20,0.0735900064062163,1.7696216387291477,0.748536649595002,0.265244357481635
