epoch,train_loss,val_loss,val_macroAcc,val_macroF1
1,0.30059180971773725,1.6178909376838704,0.7488705515861511,0.2731238603591919
2,0.03982513412095684,1.1689365664201394,0.7774363160133362,0.2924823462963104
3,0.022760874585228272,0.9360507074407476,0.8020855784416199,0.3141637444496155
4,0.016603753379335406,0.7761760648458237,0.8561964631080627,0.3887799084186554
5,0.012853127418610902,0.6518806756073603,0.8658536076545715,0.44773679971694946
6,0.010333136623649692,0.5555239721067585,0.8912761211395264,0.4954708218574524
7,0.008382870068860501,0.48034645255283287,0.905282735824585,0.506028413772583
8,0.007574866493024932,0.4897023516039947,0.9035459160804749,0.5089677572250366
9,0.007470858664812614,0.4765717036703946,0.903681218624115,0.5044126510620117
10,0.007430431387883422,0.4760074418384372,0.9038071036338806,0.5278091430664062
